unidade,mes,altas,media_dias_internacao,custo_medio
Leste,2025-01,103,3.19,12246.19
Leste,2025-02,110,2.65,10965.21
Leste,2025-03,105,4.82,17954.89
Leste,2025-04,113,3.96,14644.07
Leste,2025-05,122,4.02,14913.76
Leste,2025-06,123,4.67,16556.65
Leste,2025-07,91,3.67,14251.48
Leste,2025-08,107,4.24,15269.71
Leste,2025-09,107,4.54,16822.18
Leste,2025-10,95,4.94,17998.57
Leste,2025-11,105,4.0,15844.92
Leste,2025-12,100,4.46,15622.04
Leste,2026-01,18,9.78,31262.63
Leste,2026-02,1,43.0,79963.87
Norte,2025-01,141,3.7,12481.92
Norte,2025-02,155,4.79,16075.08
Norte,2025-03,153,4.12,13570.65
Norte,2025-04,202,4.04,13407.11
Norte,2025-05,179,4.48,14610.87
Norte,2025-06,167,4.26,14423.22
Norte,2025-07,145,4.57,14380.44
Norte,2025-08,201,4.29,14072.55
Norte,2025-09,164,4.27,14115.48
Norte,2025-10,206,4.14,14147.46
Norte,2025-11,173,4.68,14839.52
Norte,2025-12,197,4.26,13965.73
Norte,2026-01,17,6.88,21578.9
Oeste,2025-01,1,3.0,25013.91
Oeste,2025-02,3,1.67,7092.0
Oeste,2025-03,4,2.5,14014.06
Oeste,2025-04,3,5.0,15861.07
Oeste,2025-05,2,5.0,19395.6
Oeste,2025-06,6,2.0,9407.59
Oeste,2025-07,4,2.5,7440.49
Oeste,2025-08,1,1.0,5309.59
Oeste,2025-09,3,4.0,16597.09
Oeste,2025-10,4,5.0,14761.15
Oeste,2025-11,3,1.33,7032.67
Oeste,2025-12,4,7.25,17448.74
Sul,2025-01,147,6.19,22724.49
Sul,2025-02,189,6.65,24441.54
Sul,2025-03,181,6.55,22992.0
Sul,2025-04,204,6.65,24012.45
Sul,2025-05,215,6.55,23723.11
Sul,2025-06,201,6.75,23760.38
Sul,2025-07,208,6.69,23537.69
Sul,2025-08,198,6.76,23626.41
Sul,2025-09,205,6.62,24380.31
Sul,2025-10,203,6.95,24235.26
Sul,2025-11,203,6.91,24317.08
Sul,2025-12,210,6.54,23169.91
Sul,2026-01,36,9.31,32440.36
